time,pitch_deg,yaw_deg,fin_x_deg,fin_y_deg,pitch_error,yaw_error
1.270000000000001,-3.0075189552397385e-06,3.874517438079072e-07,0.0,0.0,3.0075189552397385e-06,-3.874517438079072e-07
1.280000000000001,-5.707379582633757e-06,1.0180437886194166e-07,0.0,0.0,5.707379582633757e-06,-1.0180437886194166e-07
1.290000000000001,-1.0546771492325269e-05,-4.420244976672218e-07,0.0,0.0,1.0546771492325269e-05,4.420244976672218e-07
1.300000000000001,-1.8931463801975997e-05,-1.4288181460929813e-06,0.0,0.0,1.8931463801975997e-05,1.4288181460929813e-06
1.310000000000001,-3.291976963511399e-05,-3.141387211695633e-06,0.0,0.0,3.291976963511399e-05,3.141387211695633e-06
1.320000000000001,-5.534231327258915e-05,-5.988051344241576e-06,0.0,0.0,5.534231327258915e-05,5.988051344241576e-06
1.330000000000001,-8.98124710569568e-05,-1.0520018351818474e-05,0.0,0.0,8.98124710569568e-05,1.0520018351818474e-05
1.340000000000001,-0.0001405362384030736,-1.7424375023298e-05,0.0,0.0,0.0001405362384030736,1.7424375023298e-05
1.350000000000001,-0.00021183430078021312,-2.7475867264045793e-05,0.0,0.0,0.00021183430078021312,2.7475867264045793e-05
1.360000000000001,-0.00030732863531463694,-4.143271215057935e-05,0.0,0.0,0.00030732863531463694,4.143271215057935e-05
1.370000000000001,-0.0004288344889727648,-5.9871652646162065e-05,0.0,0.0,0.0004288344889727648,5.9871652646162065e-05
1.380000000000001,-0.0005751265206046256,-8.297614946964285e-05,0.0,0.0,0.0005751265206046256,8.297614946964285e-05
1.390000000000001,-0.0007408817296671226,-0.00011031615459868714,0.0,0.0,0.0007408817296671226,0.00011031615459868714
1.400000000000001,-0.0009161854531441319,-0.00014068073603595987,0.0,0.0,0.0009161854531441319,0.00014068073603595987
1.410000000000001,-0.0010869590607085777,-0.00017203487115455453,0.0,0.0,0.0010869590607085777,0.00017203487115455453
1.420000000000001,-0.0012364926907787288,-0.00020165855270687155,0.0,0.0,0.0012364926907787288,0.00020165855270687155
1.430000000000001,-0.0013479620084494365,-0.00022648596948864828,0.0,0.0,0.0013479620084494365,0.00022648596948864828
1.440000000000001,-0.0014074599033065266,-0.00024360226399213551,0.0,0.0,0.0014074599033065266,0.00024360226399213551
1.450000000000001,-0.0014068136656293926,-0.00025079433725882843,0.0,0.0,0.0014068136656293926,0.00025079433725882843
1.460000000000001,-0.001345410281037278,-0.0002470153060482392,0.0,0.0,0.001345410281037278,0.0002470153060482392
1.470000000000001,-0.0012304723019803843,-0.00023262937366935141,0.0,0.0,0.0012304723019803843,0.00023262937366935141
1.480000000000001,-0.0010756604817314616,-0.00020935894510856954,0.0,0.0,0.0010756604817314616,0.00020935894510856954
1.490000000000001,-0.0008983752246795574,-0.00017994219748343438,0.0,0.0,0.0008983752246795574,0.00017994219748343438
1.500000000000001,-0.0007162931812332453,-0.00014755241363048635,0.0,0.0,0.0007162931812332453,0.00014755241363048635
1.5100000000000011,-0.0005440141231622773,-0.00011512207466194596,0.0,0.0,0.0005440141231622773,0.00011512207466194596
1.5200000000000011,-0.00039228201401516325,-8.51063792914935e-05,0.0,0.0,0.00039228201401516325,8.51063792914935e-05
1.5300000000000011,-0.00026779913950462307,-5.9342140085037044e-05,0.0,0.0,0.00026779913950462307,5.9342140085037044e-05
1.5400000000000011,-0.0001726036250439376,-3.878467551701913e-05,0.0,0.0,0.0001726036250439376,3.878467551701913e-05
1.5500000000000012,-0.00010469140303763056,-2.3505455698205912e-05,0.0,0.0,0.00010469140303763056,2.3505455698205912e-05
1.5600000000000012,-5.9458142949833014e-05,-1.2906126552280399e-05,0.0,0.0,5.9458142949833014e-05,1.2906126552280399e-05
1.5700000000000012,-3.130743018061548e-05,-6.027711099677014e-06,0.0,0.0,3.130743018061548e-05,6.027711099677014e-06
1.5800000000000012,-1.4925448087603101e-05,-1.8387284547510835e-06,0.0,0.0,1.4925448087603101e-05,1.8387284547510835e-06
1.5900000000000012,-6.005487635169888e-06,5.680771792291026e-07,0.0,0.0,6.005487635169888e-06,-5.680771792291026e-07
1.6000000000000012,-1.459847038551795e-06,1.8858389949679312e-06,0.0,0.0,1.459847038551795e-06,-1.8858389949679312e-06
1.6100000000000012,7.063313566569262e-07,2.5872634695317077e-06,0.0,0.0,-7.063313566569262e-07,-2.5872634695317077e-06
1.6200000000000012,1.6675452554183372e-06,2.964567945415075e-06,0.0,0.0,-1.6675452554183372e-06,-2.964567945415075e-06
